,Title,Questions,answers
0,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,What was Singapore's 2020 solar deployment target?,Singapore's 2020 solar deployment target was 350 Megawatt-peak.
1,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,When did Singapore achieve its 2020 solar deployment target?,Singapore achieved its 2020 solar deployment target by the first quarter of this year.
2,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,Which public agencies are taking the lead to accelerate solar deployment in Singapore?,"Public agencies such as HDB, JTC and PUB are taking the lead to accelerate solar deployment in Singapore."
3,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,What is Singapore's solar deployment target for 2025?,Singapore's solar deployment target for 2025 is 1.5 gigawatt-peak.
4,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,What is the private sector's role in achieving Singapore's solar deployment targets?,Singapore will continue to work with the private sector to achieve 2 gigawatt-peak by 2030.
5,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,Which research institutes are working with Singapore to achieve its solar deployment targets?,"Singapore is working with research institutes to achieve its solar deployment targets, but specific institutes are not mentioned in the summary."
6,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,What is the timeline for Singapore to achieve 2 gigawatt-peak?,Singapore aims to achieve 2 gigawatt-peak by 2030.
7,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,What is the focus of solar deployment in Singapore in the next few years?,The focus of solar deployment in Singapore in the next few years is on rooftops and reservoirs.
8,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,What is the role of HDB in accelerating solar deployment in Singapore?,HDB is taking the lead to accelerate solar deployment on rooftops in Singapore.
9,Speech by Second Minister for Trade and Industry Dr Tan See Leng at the Singapore Energy Summit,What is the role of PUB in accelerating solar deployment in Singapore?,PUB is taking the lead to accelerate solar deployment on reservoirs in Singapore.
10,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What is Singapore's target for solar power by 2025?,Singapore aims to achieve 1.5 GWp of solar by 2025.
11,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,Which sector will take the lead in catalysing Singapore's solar power initiatives?,The public service sector will take the lead in catalysing Singapore's solar power initiatives.
12,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What is the most plausible way for Singapore to have a greater proportion of its energy mix from renewable sources?,Solar power is the most plausible way for Singapore to have a greater proportion of its energy mix from renewable sources.
13,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What is the significance of the public service sector in Singapore's solar power initiatives?,The public service sector will take the lead in catalysing Singapore's solar power initiatives.
14,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What is the timeframe for Singapore's target for solar power?,Singapore aims to achieve 1.5 GWp of solar by 2025.
15,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What is the current proportion of renewable sources in Singapore's energy mix?,The summary does not provide information on the current proportion of renewable sources in Singapore's energy mix.
16,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,Why is solar power the most plausible way for Singapore to have a greater proportion of its energy mix from renewable sources?,The summary does not provide information on why solar power is the most plausible way for Singapore to have a greater proportion of its energy mix from renewable sources.
17,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What is the role of the public service sector in Singapore's solar power initiatives?,The public service sector will take the lead in catalysing Singapore's solar power initiatives.
18,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What is the significance of achieving 1.5 GWp of solar power by 2025?,The summary does not provide information on the significance of achieving 1.5 GWp of solar power by 2025.
19,Speech by Minister Chan Chun Sing at the 13th Singapore International Energy Week 2020,What are some of the challenges Singapore may face in achieving its solar power target?,The summary does not provide information on the challenges Singapore may face in achieving its solar power target.
20,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What is Singapore's solar target by 2030?,Singapore's solar target by 2030 is at least 2 gigawatt-peak (GWp).
21,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What is Singapore's energy storage deployment target beyond 2025?,Singapore's energy storage deployment target beyond 2025 is 200 megawatt (MW).
22,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What kind of business opportunities do Singapore's renewable energy initiatives create?,Singapore's renewable energy initiatives create new business opportunities.
23,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",Who is Singapore's government partnering with to harness the potential of low-carbon technologies?,"Singapore's government is partnering with the industry, research community, and international players to harness the potential of low-carbon technologies."
24,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What are some examples of low-carbon technologies that Singapore's government is focusing on?,"Singapore's government is focusing on low-carbon technologies such as carbon capture, utilisation, and storage."
25,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What kind of jobs can the development of low-carbon technologies generate?,"The development of low-carbon technologies can generate new jobs such as systems engineers, plant scientists, and aquaculture nutritionists."
26,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What is the purpose of Singapore's carbon management initiatives?,The purpose of Singapore's carbon management initiatives is to reduce carbon emissions and promote sustainable development.
27,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What is the role of the research community in Singapore's renewable energy initiatives?,The research community is partnering with Singapore's government and industry to develop and implement renewable energy initiatives.
28,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",What is the potential impact of Singapore's renewable energy initiatives?,Singapore's renewable energy initiatives can have a positive impact on the environment and create new economic opportunities.
29,"Speech by MOS Alvin Tan at the Association of Corporate Treasurers Singapore (ACTS)'s Event on Environment, Social and Governance (ESG) issues",Is Singapore's focus on renewable energy unique?,"No, many countries around the world are also focusing on renewable energy as a way to reduce carbon emissions and promote sustainable development."
30,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is Singapore doing to maximise and densify suitable solar deployment spaces?,"Singapore is scaling up the deployment of solar panels on rooftops and open spaces, such as reservoirs, and exploring innovative ways to deploy solar across all viable sites."
31,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is the government's plan for solar deployment in Singapore?,"The government plans to maximise and densify suitable solar deployment spaces by scaling up the deployment of solar panels on rooftops and open spaces, such as reservoirs, and exploring innovative ways to deploy solar across all viable sites."
32,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is Terrenus Energy and JTC's Solar Land project on Jurong Island?,"Terrenus Energy and JTC's Solar Land project on Jurong Island is a project to extend their renewable energy onsite, including solar, tidal, wave, and wind. Once completed, this will be Singapore’s first four-in-one renewable energy site, potentially producing the highest renewable energy per square meter in the world."
33,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What will be included in Singapore's first four-in-one renewable energy site?,"Singapore's first four-in-one renewable energy site will include solar, tidal, wave, and wind energy."
34,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is the potential of Singapore's first four-in-one renewable energy site?,Singapore's first four-in-one renewable energy site has the potential to produce the highest renewable energy per square meter in the world.
35,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is Singapore's current status in terms of solar density?,Singapore is already one of the most solar-dense cities in the world.
36,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is the goal of Singapore's efforts to maximise and densify suitable solar deployment spaces?,"The goal of Singapore's efforts to maximise and densify suitable solar deployment spaces is to increase the deployment of solar panels on rooftops and open spaces, such as reservoirs, and explore innovative ways to deploy solar across all viable sites."
37,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is the focus of Singapore's renewable energy efforts?,"The focus of Singapore's renewable energy efforts is to explore innovative ways to deploy solar across all viable sites and to extend renewable energy onsite, including solar, tidal, wave, and wind."
38,Speech by 2M Tan See Leng at Committee of Supply 2021 - Joint Segment on Sustainability,What is the name of the project by Terrenus Energy and JTC on Jurong Island?,The project by Terrenus Energy and JTC on Jurong Island is called the Solar Land project.
