Question,Answer
What is the current capacity of Singapore's largest floating solar farm?,"As of the second quarter of 2022, the capacity of Singapore's largest floating solar farm is not mentioned in the transcript."
How many solar installations are there in Singapore?,"There are 5,733 solar installations in Singapore according to the transcript."
How much energy can the solar installations in Singapore generate?,"The solar installations in Singapore have a total installed capacity of 703 megawatt Peak, which can generate enough energy to power up to 111,000 households for a year."
What is Singapore's goal for solar capacity by 2030?,Singapore aims to deploy at least 2 gigawatt peak of solar capacity by 2030.
How many households can be powered by Singapore's solar capacity by 2030?,"The solar capacity in Singapore by 2030 could generate enough energy to power around 350,000 households for a year."
What percentage of Singapore's total electricity demand will be accounted for by solar energy in 2030?,"According to the Energy Market Authority's estimation, solar energy will only account for three percent of Singapore's total electricity demand in 2030."
What is the biggest limitation for solar energy in Singapore?,"The biggest limitation for solar energy in Singapore is the lack of land availability. Singapore is a small and densely populated city-state, which restricts the deployment of large-scale solar farms like those seen in countries with vast land areas."
Is Singapore always hot and sunny?,"No, although Singapore is often thought of as hot and sunny, it also experiences cloudy and rainy weather."
Why is solar power considered intermittent?,"Solar power is considered intermittent because it is not always available when needed. Even during the day when it's sunny, cloud cover or sudden storms can cause a drastic drop in solar output."
What are the three main considerations Singapore has when developing energy policies?,"The three main considerations are known as the energy trilemma, which involves balancing sustainability, energy security, and affordability."
Is solar energy a greener source compared to using gas for electricity generation?,"Yes, solar energy is a greener source of energy compared to using gas for electricity generation. The costs of solar energy are also comparable or even lower than using gas."
Does solar energy contribute to energy security?,"Solar energy contributes to energy security to some extent as it is a domestic renewable source. However, it does not generate at the scale needed to fully displace conventional generation and ensure a reliable supply of power 24/7."
What is the primary fuel used for electricity generation in Singapore?,Natural gas is the primary fuel used for electricity generation in Singapore. Approximately 95% of Singapore's electricity generation comes from natural gas.
Why did Singapore choose natural gas for power generation 20 years ago?,"Singapore chose natural gas for power generation 20 years ago because, at that time, renewables were either too nascent or too expensive. Natural gas helped Singapore meet the three objectives of the energy trilemma: sustainability, energy security, and affordability."
Why does Singapore's reliance on natural gas pose a challenge?,"Singapore's reliance on natural gas poses a challenge because it has to be imported. Global events such as rising energy demand and conflicts can impact the prices of natural gas, leading to higher energy prices in Singapore."
What is Singapore's goal regarding greenhouse gas emissions?,Singapore aims to achieve Net Zero emissions by 2050.
